preco;condominio;area;quartos;vagas;banheiros;link;imobiliaria;data_scrape;bairro;status;tipo;last_seen
3750000.0;;585.0;4;4;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/morada-do-engenho/residencial-comprar-morada-do-engenho-em-piracicaba/148573;Frias_neto;2024-01-17;Morada_do_engenho;Compra;Apartamento;2024-02-12
3600000.0;;651.0;4;6;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/ondas/residencial-comprar-ondas-em-piracicaba/134402;Frias_neto;2024-01-31;Ondas;Compra;Apartamento;2024-02-12
3600000.0;;368.39;0;14;8;https://www.friasneto.com.br/comprar/comercial/piracicaba/centro/comercial-comprar-centro-em-piracicaba/147239;Frias_neto;2023-11-29;Centro;Compra;Casa;2024-02-12
3580000.0;;1700.0;5;8;7;https://www.friasneto.com.br/comprar/residencial/piracicaba/campestre/residencial-comprar-campestre-em-piracicaba/148635;Frias_neto;2024-01-17;Campestre;Compra;Apartamento;2024-02-12
3500000.0;;531.2;6;2;6;https://www.friasneto.com.br/comprar/comercial/piracicaba/nova-america/comercial-comprar-nova-america-em-piracicaba/51647;Frias_neto;2023-10-30;Nova_america;Compra;Casa;2024-02-12
3500000.0;;594.0;0;0;4;https://www.friasneto.com.br/comprar/comercial/piracicaba/sao-dimas/comercial-comprar-sao-dimas-em-piracicaba/145511;Frias_neto;2023-10-30;Sao_dimas;Compra;Casa;2024-02-12
3500000.0;;278.0;4;4;6;https://www.friasneto.com.br/comprar/residencial/piracicaba/nova-piracicaba/residencial-comprar-nova-piracicaba-em-piracicaba/81515;Frias_neto;2023-10-30;Nova_piracicaba;Compra;Apartamento;2024-02-12
3500000.0;;1000.0;4;6;6;https://www.friasneto.com.br/comprar/residencial/piracicaba/colinas-do-piracicaba-(artemis)/residencial-comprar-colinas-do-piracicaba-(artemis)-em-piracicaba/148754;Frias_neto;2024-01-18;Artemis;Compra;Apartamento;2024-02-12
3500000.0;;1740.0;3;2;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/campestre/residencial-comprar-campestre-em-piracicaba/65330;Frias_neto;2023-10-30;Campestre;Compra;Apartamento;2024-02-12
3500000.0;;827.04;0;0;15;https://www.friasneto.com.br/comprar/comercial/piracicaba/centro/comercial-comprar-centro-em-piracicaba/143592;Frias_neto;2023-10-30;Centro;Compra;Casa;2024-02-12
3250000.0;;502.81;5;4;7;https://www.friasneto.com.br/comprar/residencial/piracicaba/alphaville-piracicaba/residencial-comprar-alphaville-piracicaba-em-piracicaba/148664;Frias_neto;2024-01-17;Alphaville_piracicaba;Compra;Apartamento;2024-02-12
3200000.0;;794.83;5;6;6;https://www.friasneto.com.br/comprar/residencial/piracicaba/alto/residencial-comprar-alto-em-piracicaba/142199;Frias_neto;2023-10-30;Alto;Compra;Casa;2024-02-04
3200000.0;;402.38;0;0;4;https://www.friasneto.com.br/comprar/comercial/piracicaba/centro/comercial-comprar-centro-em-piracicaba/145591;Frias_neto;2023-10-30;Centro;Compra;Casa;2024-02-12
3200000.0;;278.0;4;4;6;https://www.friasneto.com.br/comprar/residencial/piracicaba/nova-piracicaba/residencial-comprar-nova-piracicaba-em-piracicaba/6406;Frias_neto;2023-11-29;Nova_piracicaba;Compra;Apartamento;2024-02-12
3150000.0;;517.0;3;4;6;https://www.friasneto.com.br/comprar/residencial/piracicaba/monte-alegre/residencial-comprar-monte-alegre-em-piracicaba/149849;Frias_neto;2024-02-06;Monte_alegre;Compra;Apartamento;2024-02-12
3100000.0;;591.94;3;4;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/reserva-do-engenho/residencial-comprar-reserva-do-engenho-em-piracicaba/148288;Frias_neto;2023-10-30;Reserva_do_engenho;Compra;Apartamento;2023-11-30
3100000.0;;1540.0;4;6;6;https://www.friasneto.com.br/comprar/residencial/piracicaba/nova-piracicaba/residencial-comprar-nova-piracicaba-em-piracicaba/137164;Frias_neto;2023-10-30;Nova_piracicaba;Compra;Casa;2024-02-12
3000000.0;;357.21;4;4;6;https://www.friasneto.com.br/comprar/residencial/piracicaba/nova-piracicaba/residencial-comprar-nova-piracicaba-em-piracicaba/81581;Frias_neto;2023-10-30;Nova_piracicaba;Compra;Apartamento;2023-11-30
3000000.0;;692.79;3;4;6;https://www.friasneto.com.br/comprar/residencial/piracicaba/morato/residencial-comprar-morato-em-piracicaba/146271;Frias_neto;2024-01-17;Morato;Compra;Apartamento;2024-02-12
3000000.0;;340.0;0;0;2;https://www.friasneto.com.br/comprar/comercial/piracicaba/centro/comercial-comprar-centro-em-piracicaba/144822;Frias_neto;2023-10-30;Centro;Compra;Casa;2024-02-12
3000000.0;;1000.0;0;5;4;https://www.friasneto.com.br/comprar/comercial/piracicaba/agua-santa/comercial-comprar-agua-santa-em-piracicaba/146737;Frias_neto;2023-10-30;Agua_santa;Compra;Apartamento;2024-02-12
2990000.0;;645.0;3;4;6;https://www.friasneto.com.br/comprar/residencial/piracicaba/morada-do-engenho/residencial-comprar-morada-do-engenho-em-piracicaba/148432;Frias_neto;2024-01-17;Morada_do_engenho;Compra;Apartamento;2024-02-12
2950000.0;;1000.0;0;0;3;https://www.friasneto.com.br/comprar/comercial/piracicaba/agua-santa/comercial-comprar-agua-santa-em-piracicaba/144288;Frias_neto;2023-11-29;Agua_santa;Compra;Apartamento;2024-02-12
2890000.0;;450.82;4;4;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/villa-bela-vista/residencial-comprar-villa-bela-vista-em-piracicaba/145468;Frias_neto;2023-10-30;Villa_bela_vista;Compra;Apartamento;2024-02-04
2800000.0;;448.76;0;0;0;https://www.friasneto.com.br/comprar/comercial/piracicaba/vila-independencia/comercial-comprar-vila-independencia-em-piracicaba/126011;Frias_neto;2023-10-30;Vila_independencia;Compra;Casa;2023-10-31
2800000.0;;1658.0;0;0;0;https://www.friasneto.com.br/comprar/comercial/piracicaba/dois-corregos/comercial-comprar-dois-corregos-em-piracicaba/46720;Frias_neto;2023-10-30;Dois_corregos;Compra;Casa;2024-02-12
2750000.0;;1022.52;0;0;0;https://www.friasneto.com.br/comprar/comercial/piracicaba/agua-santa/comercial-comprar-agua-santa-em-piracicaba/142929;Frias_neto;2023-10-30;Agua_santa;Compra;Apartamento;2023-10-31
2725000.0;;1090.0;0;0;0;https://www.friasneto.com.br/comprar/residencial/piracicaba/centro/residencial-comprar-centro-em-piracicaba/145931;Frias_neto;2023-10-30;Centro;Compra;Casa;2023-11-30
2700000.0;;400.19;3;4;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/villa-d'aquila/residencial-comprar-villa-d'aquila-em-piracicaba/144129;Frias_neto;2023-10-30;Villa_daquila;Compra;Apartamento;2023-11-30
2700000.0;;692.79;3;4;6;https://www.friasneto.com.br/comprar/residencial/piracicaba/morato/residencial-comprar-morato-em-piracicaba/146271;Frias_neto;2023-10-30;Morato;Compra;Apartamento;2023-11-30
2700000.0;;1079.5;3;6;6;https://www.friasneto.com.br/comprar/residencial/piracicaba/moinho-vermelho/residencial-comprar-moinho-vermelho-em-piracicaba/145284;Frias_neto;2023-10-30;Moinho_vermelho;Compra;Apartamento;2024-02-12
2700000.0;;517.7;3;2;4;https://www.friasneto.com.br/comprar/residencial/piracicaba/monte-alegre/residencial-comprar-monte-alegre-em-piracicaba/147137;Frias_neto;2023-10-30;Monte_alegre;Compra;Apartamento;2024-02-12
2700000.0;;1316.76;0;4;3;https://www.friasneto.com.br/comprar/comercial/piracicaba/agua-santa/comercial-comprar-agua-santa-em-piracicaba/144581;Frias_neto;2023-10-30;Agua_santa;Compra;Apartamento;2024-02-12
2700000.0;;560.0;4;6;6;https://www.friasneto.com.br/comprar/residencial/piracicaba/terras-de-artemis/residencial-comprar-terras-de-artemis-em-piracicaba/146042;Frias_neto;2023-10-30;Artemis;Compra;Apartamento;2024-02-12
2590000.0;;1000.0;4;5;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/campestre/residencial-comprar-campestre-em-piracicaba/147886;Frias_neto;2023-10-30;Campestre;Compra;Apartamento;2023-10-31
2500000.0;;393.78;3;4;7;https://www.friasneto.com.br/comprar/residencial/piracicaba/centro/residencial-comprar-centro-em-piracicaba/40714;Frias_neto;2023-10-30;Centro;Compra;Apartamento;2024-02-12
2500000.0;;387.0;4;4;6;https://www.friasneto.com.br/comprar/residencial/piracicaba/centro/residencial-comprar-centro-em-piracicaba/139171;Frias_neto;2023-10-30;Centro;Compra;Apartamento;2024-02-12
2500000.0;;794.83;5;6;6;https://www.friasneto.com.br/comprar/residencial/piracicaba/alto/residencial-comprar-alto-em-piracicaba/142199;Frias_neto;2024-02-05;Alto;Compra;Casa;2024-02-12
2500000.0;;18937.0;0;0;0;https://www.friasneto.com.br/comprar/comercial/piracicaba/jardim-sao-francisco/comercial-comprar-jardim-sao-francisco-em-piracicaba/145297;Frias_neto;2024-01-17;Jardim_sao_francisco;Compra;Casa;2024-02-12
2500000.0;;512.55;0;25;3;https://www.friasneto.com.br/comprar/comercial/piracicaba/centro/comercial-comprar-centro-em-piracicaba/145232;Frias_neto;2023-10-30;Centro;Compra;Casa;2023-11-30
2500000.0;;5119.14;0;0;0;https://www.friasneto.com.br/comprar/residencial/piracicaba/dois-corregos/residencial-comprar-dois-corregos-em-piracicaba/144372;Frias_neto;2023-10-30;Dois_corregos;Compra;Casa;2024-02-12
2500000.0;;1000.0;4;3;4;https://www.friasneto.com.br/comprar/residencial/piracicaba/vila-romana/residencial-comprar-vila-romana-em-piracicaba/132773;Frias_neto;2023-10-30;Vila_romana;Compra;Apartamento;2023-11-30
2500000.0;;817.0;5;6;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/damha/residencial-comprar-damha-em-piracicaba/144567;Frias_neto;2023-10-30;Damha;Compra;Apartamento;2024-02-12
2500000.0;;2000.0;4;3;4;https://www.friasneto.com.br/comprar/residencial/piracicaba/vila-romana/residencial-comprar-vila-romana-em-piracicaba/132773;Frias_neto;2024-01-17;Vila_romana;Compra;Apartamento;2024-02-12
