preco;area;quartos;vagas;banheiros;link;Imobiliaria;bairro;Data_scrape;last_seen
550.0;22.15;0;0;1;https://www.duoimoveis.com.br/imovel/sala-de-22-m-centro-piracicaba/SA0516-003?from=sale;duo imoveis;Centro;2023-11-24;2023-12-18
550.0;25.0;0;0;1;https://www.friasneto.com.br/alugar/comercial/piracicaba/centro/comercial-alugar-centro-em-piracicaba/145000;Frias Neto;Centro;2023-10-07;2023-12-18
550.0;40.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-jardim_sao_luiz-sala_comercial-25061;Junqueira;Jardim_sao_luiz;2023-10-07;2023-10-07
550.0;45.37;2;1;1;https://www.duoimoveis.com.br/imovel/casa-de-45-m-com-2-quartos-nova-suica-piracicaba/CA4690-003?from=sale;duo imoveis;Nova_suica;2023-11-07;2023-12-18
550.0;45.95;2;1;1;https://www.duoimoveis.com.br/imovel/apartamento-de-46-m-com-2-quartos-piracicamirim-piracicaba/AP5904-003?from=sale;duo imoveis;Piracicamirim;2023-10-19;2023-10-25
550.0;46.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-santa_terezinha-salao-557;Junqueira;Santa_terezinha;2023-10-07;2023-10-07
550.0;46.59;2;1;1;https://www.duoimoveis.com.br/imovel/apartamento-de-47-m-com-2-quartos-santa-terezinha-piracicaba/AP4888-003?from=sale;duo imoveis;Santa_terezinha;2023-11-22;2023-12-03
550.0;47.0;2;1;1;https://www.duoimoveis.com.br/imovel/apartamento-de-47-m-com-2-quartos-jardim-noiva-da-colina-piracicaba/AP4192-003?from=sale;duo imoveis;Jardim_noiva_da_colina;2023-10-07;2023-12-18
550.0;47.0;2;1;1;https://www.duoimoveis.com.br/imovel/apartamento-de-47-m-com-2-quartos-jardim-noiva-da-colina-piracicaba/ap4192-003?from=sale;duo imoveis;Jardim_noiva_da_colina;2023-11-01;2023-11-03
550.0;54.0;2;0;1;https://www.duoimoveis.com.br/imovel/apartamento-de-54-m-com-2-quartos-gleba-california-piracicaba/AP4284-003?from=sale;duo imoveis;Gleba_california;2023-10-07;2023-11-21
550.0;54.0;2;0;1;https://www.duoimoveis.com.br/imovel/apartamento-de-54-m-com-2-quartos-gleba-california-piracicaba/ap4284-003?from=sale;duo imoveis;Gleba_california;2023-11-01;2023-11-03
550.0;65.0;2;1;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-campestre-apartamento-20909;Junqueira;Campestre;2023-10-07;2023-10-07
550.0;204.0;0;0;0;https://www.friasneto.com.br/alugar/comercial/piracicaba/higienopolis/comercial-alugar-higienopolis-em-piracicaba/4759;Frias Neto;Higienopolis;2023-10-07;2023-12-18
550.0;208.0;0;0;0;https://www.friasneto.com.br/alugar/residencial/piracicaba/jardim-oriente/residencial-alugar-jardim-oriente-em-piracicaba/144787;Frias Neto;Jardim_oriente;2023-10-07;2023-12-18
550.0;240.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-santa_terezinha-terreno-21709;Junqueira;Santa_terezinha;2023-10-07;2023-10-07
560.0;20.0;0;0;1;https://www.friasneto.com.br/alugar/comercial/piracicaba/centro/comercial-alugar-centro-em-piracicaba/146814;Frias Neto;Centro;2023-11-13;2023-12-18
570.0;13.5;0;0;0;https://www.duoimoveis.com.br/imovel/sala-de-14-m-vila-independencia-piracicaba/SA0489-003?from=sale;duo imoveis;Vila_independencia;2023-10-07;2023-12-18
570.0;13.5;0;0;0;https://www.duoimoveis.com.br/imovel/sala-de-14-m-vila-independencia-piracicaba/sa0489-003?from=sale;duo imoveis;Vila_independencia;2023-11-01;2023-11-03
590.0;55.0;0;0;1;https://www.duoimoveis.com.br/imovel/sala-de-55-m-centro-piracicaba/SA0524-003?from=sale;duo imoveis;Centro;2023-10-18;2023-11-10
590.0;55.0;0;0;1;https://www.duoimoveis.com.br/imovel/sala-de-55-m-centro-piracicaba/sa0524-003?from=sale;duo imoveis;Centro;2023-11-01;2023-11-03
593.0;26.0;0;0;1;https://www.friasneto.com.br/alugar/comercial/piracicaba/capim-fino/comercial-alugar-capim-fino-em-piracicaba/10117;Frias Neto;Capim_fino;2023-10-07;2023-12-18
593.02;26.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-capim_fino-sala_comercial-22195;Junqueira;Capim_fino;2023-10-07;2023-10-07
